epoch,direction_pred_30d_accuracy,direction_pred_30d_loss,learning_rate,loss,price_pred_30d_loss,price_pred_30d_mae,val_direction_pred_30d_accuracy,val_direction_pred_30d_loss,val_loss,val_price_pred_30d_loss,val_price_pred_30d_mae
0,0.48415300250053406,9639884.0,0.0010000000474974513,1099095754145792.0,1084965513068544.0,20907106.0,0.36681222915649414,1896571.375,716876611584.0,722509627392.0,846490.4375
1,0.5071038007736206,3887987.25,0.0010000000474974513,54485728624640.0,54095880650752.0,5666779.5,0.36681222915649414,971340.0,2596159232.0,4997450752.0,43999.10546875
2,0.5213114619255066,2523327.75,0.0010000000474974513,31823153332224.0,31715288416256.0,4410993.0,0.36681222915649414,598422.5625,21910929408.0,22991626240.0,147787.671875
3,0.5213114619255066,2096027.25,0.0010000000474974513,22932881408000.0,22915955294208.0,3739152.25,0.36681222915649414,332480.78125,9715295232.0,12088227840.0,97004.7578125
4,0.5245901346206665,1660514.625,0.0010000000474974513,17403815657472.0,17336939577344.0,3180251.25,0.36681222915649414,176367.921875,31153156096.0,35172192256.0,174133.953125
5,0.5278688669204712,1561171.75,0.0010000000474974513,12427810832384.0,12388137959424.0,2702720.75,0.36681222915649414,128467.4140625,9450593280.0,8544239104.0,96064.7734375
6,0.5519125461578369,1139154.75,0.0010000000474974513,9935708487680.0,9839896952832.0,2410057.25,0.36681222915649414,55945.5,63888760832.0,64813105152.0,252541.78125
7,0.5191256999969482,1118055.25,0.0010000000474974513,7237196578816.0,7190072000512.0,2063307.875,0.36681222915649414,108661.1015625,78511046656.0,79002058752.0,280125.375
8,0.5573770403862,858892.8125,0.0010000000474974513,5574375243776.0,5541810667520.0,1729483.375,0.36681222915649414,144905.3125,9232743424.0,9849240576.0,95913.1796875
9,0.5322404503822327,717390.875,0.0010000000474974513,3951059271680.0,3946219044864.0,1381078.625,0.36681222915649414,104770.125,11203890176.0,11927654400.0,105659.1171875
10,0.5081967115402222,610179.125,0.0010000000474974513,2504561262592.0,2513318445056.0,1051725.625,0.36681222915649414,15900.4140625,4141234688.0,4613273088.0,63996.34765625
11,0.48743170499801636,417784.96875,0.0010000000474974513,1581574914048.0,1584792469504.0,792273.125,0.36681222915649414,12796.412109375,100701976.0,100787528.0,10028.951171875
12,0.5420765280723572,275725.46875,0.0010000000474974513,1078127427584.0,1089924825088.0,599447.4375,0.36681222915649414,2.3183553218841553,37544664.0,37311444.0,6126.56591796875
13,0.539890706539154,196848.375,0.0010000000474974513,946851086336.0,952372625408.0,485038.96875,0.36681222915649414,477.23651123046875,34787484.0,34538716.0,5897.15478515625
14,0.4896174967288971,156473.875,0.0010000000474974513,468903297024.0,468814233600.0,344204.03125,0.36681222915649414,102.52534484863281,20439078.0,20282154.0,4520.31787109375
15,0.4896174967288971,115407.171875,0.0010000000474974513,382172135424.0,378290700288.0,269881.5625,0.6331877708435059,105.01297760009766,2921986.75,2900169.25,1709.072021484375
16,0.5234972834587097,96374.15625,0.0010000000474974513,274107990016.0,271323168768.0,223279.375,0.6331877708435059,191.61190795898438,166474.328125,164823.421875,407.4299011230469
17,0.4754098355770111,114596.6640625,0.0010000000474974513,542688935936.0,550364250112.0,247984.265625,0.36681222915649414,100.60589599609375,133956.453125,132584.3125,365.6726379394531
18,0.5016393661499023,88591.65625,0.0010000000474974513,331930271744.0,327758348288.0,184290.296875,0.36681222915649414,185.813720703125,442399.1875,439031.71875,664.7669067382812
19,0.45683059096336365,76985.9765625,0.0010000000474974513,382005411840.0,377965248512.0,180448.734375,0.36681222915649414,105.63801574707031,284.2930908203125,83.55751037597656,9.176718711853027
20,0.48087432980537415,64065.28125,0.0010000000474974513,231647576064.0,236471599104.0,135908.265625,0.36681222915649414,1.3879789113998413,565424.0625,563343.9375,751.853759765625
21,0.48415300250053406,58879.97265625,0.0010000000474974513,161550827520.0,159393054720.0,107547.90625,0.36681222915649414,936.4217529296875,361760.53125,358798.09375,599.9337768554688
22,0.492896169424057,66583.6640625,0.0010000000474974513,89015394304.0,90186137600.0,90079.0,0.36681222915649414,271.2397766113281,152216.953125,151136.109375,389.4520263671875
23,0.4896174967288971,48561.77734375,0.0010000000474974513,118071779328.0,117376106496.0,85561.0859375,0.6331877708435059,36.934959411621094,66454.6484375,66104.546875,257.6014709472656
24,0.5081967115402222,42864.578125,0.0010000000474974513,157917839360.0,161151352832.0,103156.96875,0.36681222915649414,548.9739379882812,97044.5234375,95610.921875,309.8087158203125
25,0.5333333611488342,48110.83984375,0.0010000000474974513,152227643392.0,151363207168.0,97800.0,0.36681222915649414,418.22027587890625,544507.125,539993.3125,737.2510375976562
26,0.5453552007675171,42393.6796875,0.0010000000474974513,104818278400.0,103587315712.0,79989.7109375,0.36681222915649414,291.61968994140625,1094835.5,1085113.125,1045.9063720703125
27,0.5355191230773926,48480.08203125,0.0010000000474974513,97434206208.0,108040912896.0,88358.671875,0.36681222915649414,672.9468383789062,1123140.875,1112360.0,1059.0078125
28,0.5497267842292786,45096.75,0.0010000000474974513,86277029888.0,85314174976.0,67658.7421875,0.6331877708435059,190.978759765625,210444.765625,208209.15625,458.1946105957031
29,0.5442622900009155,50439.1484375,0.0010000000474974513,81641177088.0,80582819840.0,75280.1171875,0.6331877708435059,170.92221069335938,40341.21484375,39594.12890625,199.85757446289062
30,0.5322404503822327,32148.47265625,0.0005000000237487257,67309850624.0,66812190720.0,61675.83203125,0.36681222915649414,9.160124778747559,158075.59375,156698.1875,397.4844970703125
