train_loss,val_loss
60986445591.27273,7627289578.666667
4987260044.606061,1151216677.3333333
1444380509.090909,240757932.66666666
768324762.9090909,104122408.66666667
550862100.8484849,180521000.7777778
241603316.66666666,110635632.1111111
252068910.72727272,65200439.777777776
125418261.24242425,53189262.44444445
74013184.24242425,69116451.1111111
67503115.87878788,47438303.722222224
46945494.553030305,17264581.222222224
86538445.28030303,40421856.222222224
46656046.43939394,29681355.0
44929857.32575758,5286802.881944444
29765800.166666668,10669682.222222222
33593181.541666664,9318769.986111112
32692457.393939395,7804830.597222222
12590414.18560606,8398394.236111112
6798629.90719697,6242346.680555556
16788389.111742426,3706030.019097222
16424750.785984848,5782629.708333333
10373678.724431818,4493143.135416667
29885372.727272727,7307929.027777778
12136285.260416666,3550816.923611111
38542543.334280305,2110336.4131944445
57044526.253787875,11895929.305555556
2660990.1536458335,4334527.321180556
9586981.236505682,2029737.798611111
7901361.868489583,1627689.388888889
5205351.549715909,3402193.5555555555
11216082.7421875,2237227.875
2278158.203361742,1185895.3196072048
5978719.781723484,992132.4883355035
4163355.3812736743,907836.0052083334
5347697.573626894,483937.5472005208
10760063.670839252,552076.9249131945
940112.7521306818,673079.2536892361
2583155.18116714,379805.4646267361
2731471.0062144888,674895.2204861111
4311573.020714962,1692308.9539930555
4308497.724135891,1154392.7661675347
3179475.02977036,1000962.0551215278
240711.48180042615,817503.652235243
2694015.319676255,845457.8721788195
613488.803400213,433763.1536458333
353827.85984848486,534629.2897440592
451227.2159238873,533713.8009982639
1509379.7934422349,242039.60807291666
299681.283976237,296081.33636220294
6627506.168752959,166732.40516493056
2530745.1627160273,48983.63031684028
410072.10407788825,33215.76030815972
839286.0275508997,1564.5555046929253
474568.5771872781,5230.0420328776045
254163.81102775806,7774.992506167955
1145582.2787447842,7228.8681640625
2064318.8742389102,1894.3413816028171
11738205.82430568,1097856.0190972222
1492535.630977746,103532.93672688802
445201.1913914536,56807.30588107639
377441.09365752246,48174.407063802086
547146.0448737867,10570.802707248264
66648.4904720422,9002.317777845594
885218.9998131954,9884.127360026041
1483983.7997011128,115076.95746527778
3388010.237689394,28997.76502143012
664731.6400905378,342958.5036892361
2112027.7335464014,430762.31284501817
