train_loss,val_loss
299154860481.9394,728660972.4444444
3785120814.5454545,451001870.2222222
1540653905.4545455,662950844.4444444
1070494851.8787879,795125923.5555556
684321414.7878788,826056273.7777778
521161907.8787879,578694170.6666666
447297066.6666667,577028090.6666666
316127273.6969697,719920897.7777778
241365626.1818182,953137682.6666666
223252300.6060606,990752504.8888888
159234627.3939394,762889649.7777778
109134206.06060606,788074624.0
95359128.9090909,775145600.0
84677771.33333333,901181472.0
79784511.15151516,864904152.8888888
60317221.15151515,905524423.1111112
44228683.84848485,924245969.7777778
