iShares Russell 2000 ETF
Fund Holdings as of,"Oct 21, 2025"
Inception Date,"May 22, 2000"
Shares Outstanding,"279,700,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"BE","BLOOM ENERGY CLASS A CORP","Industrials","Equity","538,216,785.98","0.77","538,216,785.98","5,156,321.00","104.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRDO","CREDO TECHNOLOGY GROUP HOLDING LTD","Information Technology","Equity","513,057,490.66","0.74","513,057,490.66","3,558,698.00","144.17","United States","NASDAQ","USD","1.00","USD","-"
"IONQ","IONQ INC","Information Technology","Equity","395,296,044.50","0.57","395,296,044.50","6,643,631.00","59.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OKLO","OKLO INC CLASS A","Utilities","Equity","364,130,408.88","0.52","364,130,408.88","2,611,377.00","139.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KTOS","KRATOS DEFENSE AND SECURITY SOLUTI","Industrials","Equity","363,027,616.66","0.52","363,027,616.66","4,006,043.00","90.62","United States","NASDAQ","USD","1.00","USD","-"
"FN","FABRINET","Information Technology","Equity","361,163,819.52","0.52","361,163,819.52","868,224.00","415.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NXT","NEXTRACKER INC CLASS A","Industrials","Equity","314,495,465.70","0.45","314,495,465.70","3,506,081.00","89.70","United States","NASDAQ","USD","1.00","USD","-"
"RGTI","RIGETTI COMPUTING INC","Information Technology","Equity","306,953,320.00","0.44","306,953,320.00","7,673,833.00","40.00","United States","NASDAQ","USD","1.00","USD","-"
"AVAV","AEROVIRONMENT INC","Industrials","Equity","289,160,143.66","0.42","289,160,143.66","766,637.00","377.18","United States","NASDAQ","USD","1.00","USD","-"
"CDE","COEUR MINING INC","Materials","Equity","284,288,613.84","0.41","284,288,613.84","15,383,583.00","18.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"STRL","STERLING INFRASTRUCTURE INC","Industrials","Equity","261,302,326.56","0.38","261,302,326.56","717,233.00","364.32","United States","NASDAQ","USD","1.00","USD","-"
"RMBS","RAMBUS INC","Information Technology","Equity","253,151,951.64","0.36","253,151,951.64","2,596,164.00","97.51","United States","NASDAQ","USD","1.00","USD","-"
"ENSG","ENSIGN GROUP INC","Health Care","Equity","247,215,503.70","0.36","247,215,503.70","1,349,798.00","183.15","United States","NASDAQ","USD","1.00","USD","-"
"SATS","ECHOSTAR CORP CLASS A","Communication","Equity","240,359,995.95","0.35","240,359,995.95","3,258,235.00","73.77","United States","NASDAQ","USD","1.00","USD","-"
"QBTS","D WAVE QUANTUM INC","Information Technology","Equity","238,875,712.95","0.34","238,875,712.95","7,420,805.00","32.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IDCC","INTERDIGITAL INC","Information Technology","Equity","231,945,648.25","0.33","231,945,648.25","623,225.00","372.17","United States","NASDAQ","USD","1.00","USD","-"
"HIMS","HIMS HERS HEALTH INC CLASS A","Health Care","Equity","225,955,321.36","0.32","225,955,321.36","4,577,701.00","49.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SPXC","SPX TECHNOLOGIES INC","Industrials","Equity","222,432,149.28","0.32","222,432,149.28","1,159,467.00","191.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GTLS","CHART INDUSTRIES INC","Industrials","Equity","217,037,455.20","0.31","217,037,455.20","1,087,362.00","199.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","206,918,637.32","0.30","206,918,637.32","206,918,637.00","1.00","United States","-","USD","1.00","USD","-"
"BBIO","BRIDGEBIO PHARMA INC","Health Care","Equity","204,151,426.20","0.29","204,151,426.20","3,755,545.00","54.36","United States","NASDAQ","USD","1.00","USD","-"
"MOD","MODINE MANUFACTURING","Consumer Discretionary","Equity","197,243,511.63","0.28","197,243,511.63","1,258,653.00","156.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HQY","HEALTHEQUITY INC","Health Care","Equity","197,035,008.00","0.28","197,035,008.00","2,052,448.00","96.00","United States","NASDAQ","USD","1.00","USD","-"
