epoch,direction_pred_1d_accuracy,direction_pred_1d_loss,learning_rate,loss,price_pred_1d_loss,price_pred_1d_mae,val_direction_pred_1d_accuracy,val_direction_pred_1d_loss,val_loss,val_price_pred_1d_loss,val_price_pred_1d_mae
0,0.5099337697029114,4638683.0,0.0010000000474974513,188775875477504.0,182260007436288.0,10661049.0,0.6052631735801697,655369.5625,17785709133824.0,17120037437440.0,4038514.5
1,0.46357616782188416,4375221.5,0.0010000000474974513,52728575295488.0,51697674092544.0,5874432.5,0.5,1566164.25,1073599217664.0,679097794560.0,753019.5
2,0.5364238619804382,3360094.75,0.0010000000474974513,24827232518144.0,24855221108736.0,3965952.0,0.5263158082962036,933574.0,416652918784.0,412012773376.0,549657.875
3,0.4834437072277069,2026160.0,0.0010000000474974513,13120795836416.0,12901008015360.0,2944583.75,0.5,475076.3125,438317416448.0,419782197248.0,541033.25
4,0.4370861053466797,1832882.75,0.0010000000474974513,8095751208960.0,7991956865024.0,2261333.0,0.4736842215061188,312077.4375,567851876352.0,430491992064.0,610281.75
5,0.4768211841583252,1546450.625,0.0010000000474974513,4491647123456.0,4456356773888.0,1617526.0,0.44736841320991516,217783.21875,1170776915968.0,1004053463040.0,969544.625
6,0.443708598613739,1288711.25,0.0010000000474974513,3342134411264.0,3290259521536.0,1483084.5,0.5263158082962036,231335.25,1759143919616.0,1632387334144.0,1253298.75
7,0.6026490330696106,854699.0,0.0010000000474974513,3698450497536.0,3740076081152.0,1537580.875,0.5263158082962036,235033.875,1738666541056.0,1647443705856.0,1261546.375
8,0.503311276435852,972314.625,0.0010000000474974513,2902710026240.0,2918665682944.0,1382326.0,0.5,232506.484375,1478553763840.0,1374654431232.0,1166030.375
9,0.4701986610889435,1113329.5,0.0010000000474974513,2562701131776.0,2594370486272.0,1256963.875,0.5,261431.78125,1071413985280.0,970531012608.0,985467.25
10,0.430463582277298,1009511.6875,0.0010000000474974513,1906395054080.0,1881063161856.0,1101151.875,0.5,241829.09375,767183814656.0,684786974720.0,828593.125
11,0.4834437072277069,855896.1875,0.0010000000474974513,1718710829056.0,1687006085120.0,1030370.25,0.5,218957.265625,480977190912.0,435606847488.0,655496.0
12,0.46357616782188416,679661.625,0.0010000000474974513,1932666601472.0,1938299289600.0,1106780.875,0.5,220163.734375,270788132864.0,247081730048.0,486969.375
13,0.5231788158416748,759045.0625,0.0010000000474974513,1678723121152.0,1672520663040.0,1019871.5625,0.4736842215061188,258346.078125,102516899840.0,85422768128.0,260680.46875
14,0.38410595059394836,1077551.0,0.0010000000474974513,1265333829632.0,1273538674688.0,886072.25,0.4736842215061188,296767.0,63530659840.0,41503453184.0,178513.65625
15,0.5298013091087341,686435.25,0.0010000000474974513,1415876444160.0,1380747575296.0,915012.4375,0.4736842215061188,326372.0,56010584064.0,34584256512.0,153745.515625
16,0.5298013091087341,609574.1875,0.0010000000474974513,1207633444864.0,1180399042560.0,817950.8125,0.4736842215061188,295438.28125,58761904128.0,39350431744.0,164690.484375
17,0.49668875336647034,753250.1875,0.0010000000474974513,1147426177024.0,1160394571776.0,828935.25,0.4736842215061188,225686.625,54439018496.0,39225028608.0,172508.203125
18,0.5364238619804382,499924.3125,0.0010000000474974513,1029603721216.0,1035238244352.0,814152.3125,0.4736842215061188,260339.078125,48946688000.0,33655054336.0,167658.734375
19,0.5364238619804382,545411.6875,0.0010000000474974513,902958678016.0,891116781568.0,731578.125,0.4736842215061188,326981.96875,52290899968.0,38968889344.0,176101.8125
20,0.503311276435852,488437.75,0.0010000000474974513,833377206272.0,823100178432.0,696080.875,0.4736842215061188,301501.75,56591675392.0,43589222400.0,185286.84375
21,0.430463582277298,630799.8125,0.0010000000474974513,1571952001024.0,1616583458816.0,890361.3125,0.4736842215061188,190359.046875,58126270464.0,44836274176.0,181444.5
22,0.4701986610889435,583230.625,0.0010000000474974513,725220524032.0,718158036992.0,661541.0625,0.5263158082962036,117222.390625,66036887552.0,53996642304.0,190117.09375
23,0.49668875336647034,575370.1875,0.0010000000474974513,788487405568.0,773733089280.0,696678.875,0.6578947305679321,96460.359375,63505944576.0,54971301888.0,193098.8125
24,0.5099337697029114,533018.875,0.0010000000474974513,645592580096.0,628709457920.0,613673.75,0.5526315569877625,142753.09375,57162317824.0,51733889024.0,182223.125
