epoch,direction_pred_30d_accuracy,direction_pred_30d_loss,learning_rate,loss,price_pred_30d_loss,price_pred_30d_mae,val_direction_pred_30d_accuracy,val_direction_pred_30d_loss,val_loss,val_price_pred_30d_loss,val_price_pred_30d_mae
0,0.44507575035095215,2699140.75,0.0010000000474974513,12956180938752.0,12956174647296.0,2191626.75,0.20075757801532745,112185.59375,34377486336.0,57008304128.0,75619.3125
1,0.44981059432029724,917115.625,0.0010000000474974513,1046601990144.0,1046600220672.0,677074.8125,0.36742424964904785,36989.046875,51221876736.0,55573843968.0,113100.734375
2,0.499053031206131,515272.3125,0.0010000000474974513,422414843904.0,422413795328.0,445251.9375,0.49242424964904785,23554.515625,34799800320.0,44432408576.0,78706.203125
3,0.4895833432674408,403657.09375,0.0010000000474974513,272775315456.0,272774463488.0,364818.53125,0.8219696879386902,20852.279296875,20828774400.0,20329322496.0,45795.40625
4,0.5568181872367859,331081.5625,0.0010000000474974513,199300186112.0,199299497984.0,294822.9375,0.4469696879386902,45996.375,6203428352.0,6130872832.0,44269.3828125
5,0.5445075631141663,287263.5625,0.0010000000474974513,172509888512.0,172509331456.0,268997.5,0.7803030014038086,65957.7109375,3953886208.0,5515083776.0,35351.1953125
6,0.5378788113594055,250746.78125,0.0010000000474974513,97145585664.0,97145102336.0,210013.8125,0.6174242496490479,58097.20703125,3966004736.0,6050871296.0,24112.568359375
7,0.5482954382896423,191718.71875,0.0010000000474974513,90674814976.0,90674421760.0,184646.984375,0.7992424368858337,64936.5703125,3130635776.0,4496344576.0,18387.064453125
8,0.5615530014038086,174784.515625,0.0010000000474974513,55738679296.0,55738331136.0,149535.203125,0.7916666865348816,78166.6328125,3101529856.0,5581176832.0,16938.458984375
9,0.5464015007019043,156196.421875,0.0010000000474974513,52314730496.0,52314419200.0,140825.015625,0.7878788113594055,78379.625,1468697472.0,2666060032.0,13613.5791015625
10,0.5729166865348816,131157.765625,0.0010000000474974513,41624555520.0,41624293376.0,120677.0078125,0.7916666865348816,55595.8671875,588486848.0,1011982784.0,7772.4755859375
11,0.5274621248245239,130362.03125,0.0010000000474974513,31897679872.0,31897421824.0,103473.1796875,0.28409090638160706,51907.74609375,489708416.0,1116513024.0,9976.298828125
12,0.5482954382896423,106518.3515625,0.0010000000474974513,24295057408.0,24294842368.0,89398.5078125,0.24242424964904785,29107.26953125,126059112.0,274581152.0,3672.943359375
13,0.5274621248245239,99893.734375,0.0010000000474974513,24268668928.0,24268466176.0,82232.953125,0.1666666716337204,19191.677734375,98106744.0,149785744.0,3376.469970703125
14,0.5719696879386902,81281.140625,0.0010000000474974513,21776410624.0,21776246784.0,73726.359375,0.6401515007019043,10859.5390625,41442764.0,58819048.0,1990.852294921875
15,0.5501893758773804,85749.2421875,0.0010000000474974513,15347945472.0,15347770368.0,66366.75,0.7916666865348816,8378.669921875,23992248.0,36646392.0,1516.72509765625
16,0.5568181872367859,56694.9453125,0.0010000000474974513,11712761856.0,11712649216.0,54703.29296875,0.7348484992980957,4043.8701171875,12093891.0,14555807.0,1286.716796875
17,0.5634469985961914,61252.59375,0.0010000000474974513,10701228032.0,10701107200.0,51629.19140625,0.7916666865348816,3593.958740234375,10090928.0,13879481.0,965.6263427734375
18,0.5710227489471436,47727.9765625,0.0010000000474974513,8629846016.0,8629749760.0,45273.19921875,0.7045454382896423,1650.2694091796875,6873249.0,7808015.0,1013.3219604492188
19,0.5520833134651184,51202.65625,0.0010000000474974513,8981945344.0,8981843968.0,41981.35546875,0.7765151262283325,1407.27294921875,6523496.0,8047040.0,1073.916748046875
20,0.5426136255264282,37939.5546875,0.0010000000474974513,6101332480.0,6101255680.0,38250.5703125,0.7916666865348816,1058.78857421875,5818549.0,7218026.0,965.1087646484375
21,0.5625,38431.22265625,0.0010000000474974513,11874089984.0,11874013184.0,40013.0234375,0.689393937587738,147.0140380859375,2699854.75,2542615.75,564.8201293945312
22,0.5700757503509521,29374.025390625,0.0010000000474974513,5406348288.0,5406288384.0,32155.423828125,0.32575756311416626,13.257940292358398,1705372.5,1563232.125,496.98199462890625
23,0.5776515007019043,29121.13671875,0.0010000000474974513,4496803840.0,4496744960.0,29084.234375,0.7878788113594055,4.193442344665527,1154644.875,1058416.5,499.6492614746094
24,0.59375,22112.08984375,0.0010000000474974513,3873517824.0,3873473536.0,26859.94921875,0.7916666865348816,2.4931726455688477,974493.1875,893280.9375,445.07989501953125
25,0.5520833134651184,24458.369140625,0.0010000000474974513,5103038976.0,5102989312.0,25964.18359375,0.21212121844291687,7.267104148864746,730923.8125,669999.4375,244.55824279785156
26,0.5776515007019043,21604.900390625,0.0010000000474974513,6074863616.0,6074819584.0,27232.12890625,0.25,8.166871070861816,831400.0,762100.8125,233.20626831054688
27,0.5890151262283325,21074.642578125,0.0010000000474974513,5752058368.0,5752016384.0,23891.384765625,0.7916666865348816,8.413283348083496,688725.75,631315.625,195.18325805664062
28,0.59375,21096.990234375,0.0010000000474974513,4828499456.0,4828456448.0,22649.6171875,0.7916666865348816,2.6406242847442627,710326.875,651128.25,166.4462432861328
29,0.560606062412262,21339.03125,0.0010000000474974513,3593013760.0,3592971008.0,22204.1640625,0.7916666865348816,9.63998794555664,566792.3125,519540.875,116.9256362915039
30,0.5871211886405945,17433.06640625,0.0010000000474974513,4298319360.0,4298284032.0,21160.791015625,0.7878788113594055,3.3976006507873535,710221.8125,651030.375,103.50389099121094
